PARKID_x,PARKID_y,geodesic distance (km)
KAN06,ATL03,1088.5467922821717
KAN06,BAL11,1549.7463213541632
KAN06,BAL12,1549.7463213541632
KAN06,BOS07,2012.6543779612568
KAN06,BUF05,1383.897153544349
KAN06,CHI10,664.9567606340246
KAN06,CHI11,664.9567606340246
KAN06,CHI12,664.9567606340246
KAN06,CIN08,870.2693592426324
KAN06,CIN09,870.2693592426324
KAN06,CLE07,1126.1778464327372
KAN06,CLE08,1126.1778464327372
KAN06,DEN01,898.4419581327874
KAN06,DEN02,898.4419581327874
KAN06,DET04,1037.289934947008
KAN06,DET05,1037.289934947008
KAN06,DUN01,1643.8705511553383
KAN06,DYE01,475.6977011194048
KAN06,FTB01,1437.323000928102
KAN06,HOU02,1038.750415318772
KAN06,HOU03,1038.750415318772
LAS01,ANA01,361.3361997029352
LAS01,ARL01,1698.2913789388667
LAS01,ARL02,1698.2913789388667
LAS01,ARL03,1698.2913789388667
LAS01,ATL01,2810.3305367508774
LAS01,ATL02,2810.3305367508774
LAS01,ATL03,2810.3305367508774
LAS01,BAL11,3389.2476118637956
LAS01,BAL12,3389.2476118637956
LAS01,BOS07,3822.845455921225
LAS01,BUF05,3180.1969404427273
LAS01,CHI10,2454.6551977286877
LAS01,CHI11,2454.6551977286877
LAS01,CHI12,2454.6551977286877
LAS01,CIN08,2710.7366295919614
LAS01,CIN09,2710.7366295919614
LAS01,CLE07,2945.300242224812
LAS01,CLE08,2945.300242224812
LAS01,DEN01,976.5196850240332
LAS01,DEN02,976.5196850240332
LAS01,DET04,2836.077232633814
LAS01,DET05,2836.077232633814
LAS01,DUN01,3170.323777161867
LAS01,DYE01,2178.4737944523167
LAS01,FTB01,3242.7357634648833
LAS01,HOU02,1976.6104857514215
LAS01,HOU03,1976.6104857514215
LAS01,KAN06,1840.494011872468
LBV01,ANA01,3504.5079979212746
LBV01,ARL01,1568.740020825771
LBV01,ARL02,1568.740020825771
LBV01,ARL03,1568.740020825771
LBV01,ATL01,654.7586610429906
LBV01,ATL02,654.7586610429906
LBV01,ATL03,654.7586610429906
LBV01,BAL11,1292.435864824576
LBV01,BAL12,1292.435864824576
LBV01,BOS07,1815.8081126837515
LBV01,BUF05,1627.1174497114382
LBV01,CHI10,1595.8076641833372
LBV01,CHI11,1595.8076641833372
LBV01,CHI12,1595.8076641833372
LBV01,CIN08,1220.6548719237792
LBV01,CIN09,1220.6548719237792
LBV01,CLE07,1455.5476386369535
LBV01,CLE08,1455.5476386369535
LBV01,DEN01,2493.8078460489546
LBV01,DEN02,2493.8078460489546
LBV01,DET04,1553.9231070843448
LBV01,DET05,1553.9231070843448
LBV01,DUN01,128.32095865256568
LBV01,DYE01,1788.025130901585
LBV01,FTB01,782.5429593642339
LBV01,HOU02,1355.2509531187288
LBV01,HOU03,1355.2509531187288
LBV01,KAN06,1692.2801929394946
LBV01,LAS01,3264.849296439078
LOS03,ANA01,39.06753002469723
LOS03,ARL01,1968.2823893577572
LOS03,ARL02,1968.2823893577572
LOS03,ARL03,1968.2823893577572
LOS03,ATL01,3116.7441599966605
LOS03,ATL02,3116.7441599966605
LOS03,ATL03,3116.7441599966605
LOS03,BAL11,3733.439772648114
LOS03,BAL12,3733.439772648114
LOS03,BOS07,4178.509720723577
LOS03,BUF05,3537.0564331791506
LOS03,CHI10,2809.7928820173775
LOS03,CHI11,2809.7928820173775
LOS03,CHI12,2809.7928820173775
LOS03,CIN08,3052.3320812157895
LOS03,CIN09,3052.3320812157895
LOS03,CLE07,3297.740597082955
LOS03,CLE08,3297.740597082955
LOS03,DEN01,1337.6087725135333
